Rk_playoff,Tm,Age_playoff,W_playoff,L_playoff,W/L%,PW_playoff,PL_playoff,ORtg_playoff,DRtg_playoff,NRtg_playoff,Pace_playoff,FTr_playoff,3PAr_playoff,TS%_playoff,Offense_Four_Factors_eFG%_playoff,Offense_Four_Factors_TOV%_playoff,Offense_Four_Factors_ORB%_playoff,Offense_Four_Factors_FT/FGA_playoff,Defense_Four_Factors_eFG%_playoff,Defense_Four_Factors_TOV%_playoff,Defense_Four_Factors_DRB%_playoff,Defense_Four_Factors_FT/FGA_playoff,Rk_in_season,Age_in_season,W_in_season,L_in_season,PW_in_season,PL_in_season,MOV,SOS,SRS,ORtg_in_season,DRtg_in_season,NRtg_in_season,Pace_in_season,FTr_in_season,3PAr_in_season,TS%_in_season,Offense_Four_Factors_eFG%_in_season,Offense_Four_Factors_TOV%_in_season,Offense_Four_Factors_ORB%_in_season,Offense_Four_Factors_FT/FGA_in_season,Defense_Four_Factors_eFG%_in_season,Defense_Four_Factors_TOV%_in_season,Defense_Four_Factors_DRB%_in_season,Defense_Four_Factors_FT/FGA_in_season,Arena,Attend.,Attend./G,season_year,logo_url
1.0,Milwaukee Bucks,27.6,10.0,5.0,0.667,11.0,4.0,111.8,103.1,8.7,99.5,0.317,0.431,0.56,0.523,11.0,21.7,0.231,0.474,10.4,83.0,0.207,1.0,26.9,60.0,22.0,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12.0,20.8,0.197,0.503,11.5,80.3,0.162,Fiserv Forum,721692.0,17602.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/mil.png
2.0,Toronto Raptors,28.4,16.0,8.0,0.667,16.0,8.0,110.7,105.1,5.6,95.4,0.275,0.407,0.561,0.515,10.8,18.9,0.228,0.491,13.5,77.7,0.233,3.0,27.3,58.0,24.0,56,26,6.09,-0.6,5.49,113.1,107.1,6.0,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,0.509,13.1,77.1,0.19,Scotiabank Arena,812822.0,19825.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/tor.png
3.0,Golden State Warriors,29.1,14.0,8.0,0.636,13.0,9.0,116.2,112.7,3.5,97.3,0.282,0.38,0.589,0.548,13.1,24.8,0.23,0.522,12.2,76.6,0.243,2.0,28.4,57.0,25.0,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,Oracle Arena,803436.0,19596.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/gs.png
4.0,Houston Rockets,29.5,6.0,5.0,0.545,7.0,4.0,111.8,108.5,3.3,96.2,0.29,0.51,0.574,0.537,13.3,23.1,0.221,0.499,12.7,75.0,0.217,5.0,29.2,53.0,29.0,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,0.542,12.0,22.8,0.221,0.525,13.4,74.4,0.21,Toyota Center,740392.0,18058.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/hou.png
5.0,Philadelphia 76ers,27.2,7.0,5.0,0.583,7.0,5.0,110.7,107.6,3.1,98.2,0.301,0.331,0.559,0.514,13.9,27.2,0.238,0.488,10.8,79.6,0.246,11.0,26.4,51.0,31.0,48,34,2.7,-0.44,2.25,112.6,110.0,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,0.512,11.1,78.6,0.206,Wells Fargo Center,838342.0,20447.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/phi.png
6.0,Denver Nuggets,25.4,7.0,7.0,0.5,8.0,6.0,115.0,113.0,2.0,92.2,0.279,0.308,0.539,0.496,8.3,27.4,0.219,0.497,8.5,74.8,0.212,8.0,24.9,54.0,28.0,51,31,3.95,0.24,4.19,113.0,108.9,4.1,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,0.521,12.3,78.0,0.194,Pepsi Center,756457.0,18450.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/den.png
7.0,Boston Celtics,26.2,5.0,4.0,0.556,4.0,5.0,103.0,104.4,-1.4,99.1,0.288,0.392,0.539,0.491,12.8,16.6,0.231,0.492,10.5,82.1,0.199,6.0,25.7,49.0,33.0,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,0.514,13.4,77.0,0.198,TD Garden,763584.0,18624.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/bos.png
8.0,Portland Trail Blazers,26.6,8.0,8.0,0.5,7.0,9.0,111.0,112.4,-1.4,95.7,0.274,0.363,0.541,0.501,11.0,24.4,0.21,0.503,11.1,72.4,0.234,7.0,26.2,53.0,29.0,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,0.516,11.0,77.9,0.195,Moda Center,799345.0,19496.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/por.png
9.0,San Antonio Spurs,28.3,3.0,4.0,0.429,3.0,4.0,113.0,115.0,-2.0,91.4,0.27,0.233,0.542,0.503,7.7,24.2,0.208,0.516,8.3,76.8,0.177,12.0,28.8,48.0,34.0,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11.0,21.0,0.194,0.528,11.0,79.4,0.17,AT&T Center,750616.0,18308.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/sa.png
10.0,Oklahoma City Thunder,26.2,1.0,4.0,0.2,2.0,3.0,105.7,111.5,-5.8,99.6,0.295,0.365,0.541,0.5,13.5,22.7,0.223,0.519,12.2,75.7,0.209,10.0,25.7,49.0,33.0,50,32,3.4,0.15,3.56,110.3,107.0,3.3,102.8,0.266,0.347,0.545,0.514,11.7,26.0,0.19,0.523,14.4,78.2,0.206,Chesapeake Energy Arena,746323.0,18203.0,2019,https://a.espncdn.com/i/teamlogos/nba/500/okc.png
