month_start,new_york_obs_cases,vermont_obs_cases
1930-01-01,1724,65
1930-02-01,2477,32
1930-03-01,4910,174
1930-04-01,7961,263
1930-05-01,9773,210
1930-06-01,9461,183
1930-07-01,2385,31
1930-08-01,522,12
1930-09-01,189,4
1930-10-01,313,10
1930-11-01,755,17
1930-12-01,660,20
1931-01-01,1584,60
1931-02-01,3882,36
1931-03-01,11195,16
1931-04-01,11146,7
1931-05-01,17400,51
1931-06-01,8595,171
1931-07-01,3434,46
1931-08-01,922,13
1931-09-01,219,16
1931-10-01,287,70
1931-11-01,1282,283
1931-12-01,1797,438
1932-01-01,5942,1200
1932-02-01,10103,411
1932-03-01,13189,299
1932-04-01,11268,329
1932-05-01,14633,1272
1932-06-01,8030,622
1932-07-01,3696,183
1932-08-01,508,18
1932-09-01,291,16
1932-10-01,696,6
1932-11-01,1595,5
1932-12-01,2487,3
1933-01-01,6533,4
1933-02-01,10311,40
1933-03-01,15909,84
1933-04-01,17666,164
1933-05-01,10596,102
1933-06-01,5587,221
1933-07-01,2187,134
1933-08-01,376,14
1933-09-01,215,10
1933-10-01,711,7
1933-11-01,1411,271
1933-12-01,3119,476
1934-01-01,3391,132
1934-02-01,4960,191
1934-03-01,5961,197
1934-04-01,6408,340
1934-05-01,4816,207
1934-06-01,3993,191
1934-07-01,1672,77
1934-08-01,281,27
1934-09-01,267,4
1934-10-01,701,3
1934-11-01,3211,12
1934-12-01,4008,12
1935-01-01,4653,37
1935-02-01,8301,57
1935-03-01,16886,242
1935-04-01,15253,303
1935-05-01,13681,227
1935-06-01,14145,163
1935-07-01,3970,148
1935-08-01,825,38
1935-09-01,404,34
1935-10-01,817,133
1935-11-01,1688,148
1935-12-01,2831,594
1936-01-01,4110,538
1936-02-01,8015,1362
1936-03-01,13902,3998
1936-04-01,12265,3200
1936-05-01,16342,2234
1936-06-01,7818,731
1936-07-01,2566,44
1936-08-01,610,11
1936-09-01,172,13
1936-10-01,240,5
1936-11-01,759,9
1936-12-01,673,1
1937-01-01,1724,24
1937-02-01,2033,7
1937-03-01,3224,9
1937-04-01,5036,7
1937-05-01,8775,18
1937-06-01,5223,8
1937-07-01,2046,26
1937-08-01,506,1
1937-09-01,348,23
1937-10-01,476,139
1937-11-01,404,487
1937-12-01,426,654
1938-01-01,6403,1324
1938-02-01,5190,861
1938-03-01,10093,736
1938-04-01,15358,529
1938-05-01,18172,649
1938-06-01,7414,146
1938-07-01,4095,130
1938-08-01,473,15
1938-09-01,256,4
1938-10-01,368,13
1938-11-01,1514,7
1938-12-01,2349,29
1939-01-01,4965,43
1939-02-01,6190,61
1939-03-01,7486,133
1939-04-01,11678,274
1939-05-01,9132,406
1939-06-01,6341,701
1939-07-01,3154,271
1939-08-01,202,28
1939-09-01,137,23
1939-10-01,436,68
1939-11-01,699,131
1939-12-01,1571,102
